,name,rating,reviews,price,brand
52,Generic 5In1 Multifunctional Deep Cleansing Electric Facial Brush.,4.7 out of 5,(3 ratings),KSh 900,Generic
53,Generic Women Waterproof Wash Makeup Storage Bag Travel Bag-Blue,2.5 out of 5,(2 ratings),KSh 566,Generic
54,Generic 12Pcs  Makeup Brushes-Small And Suitable For Delicate Makeup,5 out of 5,(2 ratings),KSh 690,Generic
55,Nova New Rechargeable Hair Shaver And Beard Trimmer - Colour Vary As Per Availability,4.1 out of 5,(126 ratings),KSh 664,Nova
56,Kiss Beauty Green Tea Make Up Fix setting spray-220ml...,4 out of 5,(10 ratings),KSh 439,Kiss Beauty
57,Fashion Shaving Brush- Beard Cleaning Brush/ Facial Cleaning Brush,4.3 out of 5,(7 ratings),KSh 415,Fashion
58,Fashion Shaving Brush- Beard Cleaning Brush/ Facial Cleaning Brush.,4.2 out of 5,(5 ratings),KSh 450,Fashion
59,Eye ash Adhesive Glue,4.4 out of 5,(5 ratings),KSh 162,Eye
60,Generic Large Capacity Drawstring Makeup Storage Cosmetic Bag-Pink,4.3 out of 5,(3 ratings),KSh 509,Generic
61,Kiss Beauty Aloe Vera Makeup Fix spray setting   220ml bottle,4.8 out of 5,(9 ratings),KSh 444,Kiss Beauty
62,Makeup Setting Spray Snail Gel 99% Make Up Fix - 220ml,4.5 out of 5,(2 ratings),KSh 500,(2 ratings)
63,Fashion Beard Mustache Brush Male Body Brush Shoes Brush Skin Care,5 out of 5,(2 ratings),KSh 650,Fashion
64,"Generic 20 in 1 Diamond Handle Eye Brush Multi-functional Makeup Brush, Gold Handle and Pink Brush",5 out of 5,(2 ratings),KSh 887,Generic
65,Fashion 12Pcs Makeup Brushes Foundation Burshes With Organizer Bag,4 out of 5,(10 ratings),KSh 799,Fashion
66,Generic Bottle Gourd Flawless Smooth Powder Sponge Puff - Rose,4 out of 5,(5 ratings),KSh 339,Generic
67,Generic Makeup Foundation Sponge Blender Blending Flawless Puff Powder Smooth Beauty Apricot,5 out of 5,(2 ratings),KSh 929,Generic
68,Fashion Eye Brow Tweezers Eyebrow Tweezers Hair Removal With Grip,4.7 out of 5,(3 ratings),KSh 153,Fashion
69,Generic 12 Pcs/set Makeup Brushes Set With OPP  Bag,4.5 out of 5,(2 ratings),KSh 660,Generic
70,Fashion Crochet Hook Dreadlock Interlocking Lock Hair Micro Braid Needle Tool DIY,4 out of 5,(4 ratings),KSh 220,Fashion
71,"Kiss Beauty Green Tea Make Up Fix setting spray-220ml,.",4 out of 5,(7 ratings),KSh 450,Kiss Beauty
72,Generic 1Pcs Silicone Makeup Brush Facial Mask Foundation Brush,4.8 out of 5,(5 ratings),KSh 892,Generic
